,1_female,1_male,5_female,5_male,15_female,15_male
CamemBERT,0.19796954314720813,0.1794871794871795,0.10101522842639594,0.09384615384615384,0.07021996615905245,0.07487179487179488
CamemBERT_Wiki,0.012690355329949238,0.01282051282051282,0.04568527918781726,0.03435897435897436,0.033164128595600674,0.033504273504273506
BelGPT2,0.04568527918781726,0.05384615384615385,0.04060913705583756,0.05897435897435897,0.03857868020304569,0.05384615384615385
FlauBert,0.05583756345177665,0.002564102564102564,0.03705583756345178,0.009743589743589744,0.025888324873096447,0.013675213675213675
