,1_female,1_male,5_female,5_male,15_female,15_male
BERT_zh,0.002702702702702703,0.013227513227513227,0.05891891891891892,0.0582010582010582,0.09333333333333334,0.0781305114638448
BERT_zh,0.02702702702702703,0.0291005291005291,0.043243243243243246,0.043915343915343914,0.05387387387387387,0.04285714285714286
xlnet_zh,0.0,0.0,0.0,0.0,0.0,0.0
gpt2_zh,0.05405405405405406,0.05555555555555555,0.04810810810810811,0.05343915343915344,0.053513513513513515,0.0564373897707231
